Sl,"Consignor GST",Name,Address,"Consignee GST",Name,Address,"Date of Booking","Date of Delivery","No. of items",Commodity,"Goods Value(Rs.)"
18,37AIOPM1298E1ZX,"SRI LAKSHMI COMPONENTS",VJA,37CGFPM1547M1ZO,"SRI MURALI KRISHNA E/P",PDPM,2018-02-24,0000-00-00,5,COOLERS,3506
19,37aaecv4783a1za,"VOLKSMED HEALTH CARE",vijayawada,37AADFM5263G1Z9,"MANGA RAJA MEDICAL AGENCIES",RJY,2018-02-24,0000-00-00,1,MEDICAL,23389
20,37AAGFJ2063E1ZL,"JAYA POWER SYSTEMS",VJA,37ADQPV1686A1Z5,"SURYA ENTERPRISES",RJY,2018-02-24,0000-00-00,1,A/M,38500
21,37BAQPP9503E1ZC,"MANIKANTA ENTERPRISES",TENALI,,"CH .NAGESWAR RAO",GLPL,2018-02-24,0000-00-00,1,COVERS,5097
22,37AHTPD5681J1ZQ,"SRI SEKHAR ENTERPRISES",VIJAYAWADA,37AAWPY5828N1ZB,"SRI LAKSHMI GENERAL",KKD,2018-02-24,0000-00-00,11,COSMATICS,27284
23,37ABEFA8862F1Z9,"ALPHA POLY PRODUCTS",VIJAYAWADA,37AGYPR7219N1Z7,"SURYA PADMA AGENCIES",PITAPURAM,2018-02-24,0000-00-00,1,PVCROLL,3860
24,37CGWPS3580D1ZR,"SRI NAKODA E/P",VJA,,"S .HARI",SMKT,2018-02-24,0000-00-00,2,"STEEL ITEM",9894
25,37CGWPS3580D1ZR,"SRI NAKODA E/P",VJA,,"M GIRI",SMKT,2018-02-24,0000-00-00,2,"STEEL ITEM",9904
26,37AWQPG5053M1Z1,"SHANTHI SHREE PLASTICS",HYD,,"K RAMBABU",SMKT,2018-02-24,0000-00-00,3,COVERS,10620
27,37AACCK6385P2ZP,"KALANIKETHAN SILKS PVT LTD",KKD,37AACCK6385P2ZP,"KALANIKETHAN SILKS PVTLTD",KKD,2018-02-24,0000-00-00,3,1760,130344
28,33AOYPJ1266R1Z3,"EL-SHADDAI E/P",CHENNAI,37aabfc4371k1zd,"chella metal",smlk,2018-02-24,0000-00-00,1,"STEEL ITEM",11504
29,33AENPR3303Q1Z3,"S  KUDYOG",CHENNAI,37aabfc4371k1zd,"chella metal",smlk,2018-02-24,0000-00-00,3,STEEL,42497
30,37ACPPG1247EIZQ,"DURGA GENERAL STORES",VJA,883100552811,"G VEERBABU",RJY,2018-02-24,0000-00-00,1,NAVARU,5788
31,37AGCPP2226M1ZM,"VIJAY ELECTRICAL ENG,CO",VIJAYAWADA,37AGCPM4529J1Z7,"SRI SANTHOSHI AGENCIES",KKD,2018-02-24,0000-00-00,13,"HOUSE ITEM",55620
32,37AAIFS3950K1ZR,"SRI VENKATESWARA JUTE CO",VIJAYAWADA,37ABPPN4785P1ZH,"MANI E/P",KKD,2018-02-24,0000-00-00,3,"STRAP RP",3096
33,37AAGFR4593P1ZB,"RAJANIK CYCLE AGENCIES","BHAVANIPURAM, VIJAYAWADA",37ABNPI4411P1Z9,"OM  TRADERS",RJY,2018-02-24,0000-00-00,21,CYCLES,135894
34,37AAKFC3287B1ZI,"CHANEL  PLYWOOD",VJA,,MANISH,RJY,2018-02-24,0000-00-00,5,PLYWOOD,2635
35,37ACFFS4697G1ZL,"SHYAMALA  A/M",VJA,37ALWPG9987H1ZZ,"AMARAVATHI AUTO  A/G",KKD,2018-02-24,0000-00-00,11,A/G,48895
36,37ABIPD4146M1ZH,"MAHESWARI DALL MILL",VJA,37BBNPA7829N1ZO,"SRI SAI BHARGAVI TRADERS",GLPL,2018-02-24,0000-00-00,24,DALLS,79200
37,37AADCK0924H1ZP,"KARMA HEALTH CARE LTD",VIJAYAWADA,37AACFF7691Q1ZK,"FITNESS SHOPEE",RJY,2018-02-24,0000-00-00,12,SURGICAL,26309
38,37AADCK0924H1ZP,"KARMA HEALTH CARE LTD",VIJAYAWADA,37AGFPMOO98M1ZY,"MANNAR SURGICALS",RJY,2018-02-24,0000-00-00,6,SURGICAL,21826
39,37ADBPJ0713D1Z8,"METALS & METALS",VIJAYAWADA,725526073239,"G . V .BHADHRA RAO",SMKT,2018-02-24,0000-00-00,2,"STEEL ITEM",13440
40,37CWYPP7401E1ZI,"P.S.R ENTERPRISES",VIJAYAWADA,,"SRI KRISHNA ENTERPRISES",RJY,2018-02-24,0000-00-00,1,"PLASTIC ITEM",15561
41,37AEVPS1453A1ZC,"MAHAVEER BOTTLE AGENCIES",VIJAYAWADA,,SRINIVAS,PTPM,2018-02-24,0000-00-00,1,"PLASTIC ITEM",1416
42,37AAIFV5162E1Z1,"VISWA TRADE LINES",VJA,37CYWPP9777M1ZR,"VENKATA SAI ESWARA A/M",RJY,2018-02-24,0000-00-00,3,A/B,39250
43,37AMMPD9193K1ZD,"VIJAYA DURGA ENTERPRISES",VJW,37BXQPG1270G1ZE,"SRI DURGA SRINIVASA H/W & GENERAL STORES",YELESWARAM,2018-02-24,0000-00-00,17,"IRON PIPE",25370
44,37ADBPJ0713D1Z8,"METALS & METALS",VIJAYAWADA,37BXQPK4569Q1Z9,"SRI DURGA GENERAL STORE",MANDAPETA,2018-02-24,0000-00-00,1,STEEL,5614
45,37AAGPY3412J1ZF,"VIJAYAAMBICA ENTERPRISES","GOLLAPUDI, VIJAYAWADA",37BBNPA7829N1ZO,"SRI SAI BHARGAVI TRADERS",GLPL,2018-02-24,0000-00-00,32,DALLS,66496
46,37AABCO8334R1ZQ,"OZO AGRI NCARE PVT LTD",VIJAYAWADA,37BSNPA8104R1Z7,"SRI LAKSHMI SRINIVASA AGENCIES","KARAPA, RCPM",2018-02-24,0000-00-00,9,PESTICIDES,37800
47,37AAIFV5162E1Z1,"VISWA TRADE LINES",VJA,37DTEPK2128F1ZV,"SRI JAGANADHA BABAJI  A/M",RJY,2018-02-24,0000-00-00,6,A/M,46208
48,37AECPC5411R1ZE,"MAYUR FOOT WEAR",VIJAYAWADA,37AFBPJ2588Q1ZS,"NOVELTY FOOT WEAR",RJY,2018-02-24,0000-00-00,16,F/W,21338
49,37AARPN3894L1ZP,"VIJAYA RESINS &COATINGS",VIJAYAWADA,814327888301,"JAYA LAXMI IRON & GENERAL STORES","JAGAPATHI NAGARAM, YELESWARAM",2018-02-24,0000-00-00,2,PAINT,720
50,37AAIFV5162E1Z1,"VISWA TRADE LINES",VJA,37csgps9816l1zu,"dhan lakshmi auto motors",rjy,2018-02-24,0000-00-00,2,A/M,9447
51,33AAKPK6043K1ZM,"KUNDAN ENTERPRISES",CHENNAI,37BRPPM2629J1Z9,"BUBBLY MENS & WOMENS WEAR",JAGGAMPETA,2018-02-24,0000-00-00,2,FANCY,5410
52,37AACCM5554A1ZQ,"MAHENDRA PUMPS  P  LTD",VJA,37ANEPJ4906H1Z1,"KARTHIKEYA  E/P",SMKT,2018-02-24,0000-00-00,2,MOTORS,20968
53,37ACCPP8059Q1ZP,"SRI SAI INTERNATIONAL",VJW,572640664219,"ALLADA SRINIVAS",MANDAPETA,2018-02-24,0000-00-00,1,"PHOTO FRAME ITEM",2124
54,37AACCV0019M1ZA,"RAKSHA PIPES PVT.LTD",VIJAYAWADA,37AAAFT7260M1ZR,"THE SUN  ENG  E/P",RJY,2018-02-24,0000-00-00,5,"PVC PIPES",16276
55,37AAECS8044H1Z5,"LAXMI MOBI",VIJAYAWADA,37AAVCS7181G1ZM,"LAXMI HUNDAI",RJY,2018-02-24,0000-00-00,1,A/M,8379
56,37ACCPP8059Q1ZP,"SRI SAI INTERNATIONAL",VJW,37aahfl0469r1zl,"lotus colour lab and studio",kkd,2018-02-24,0000-00-00,1,"PHOTO FRAMS",2124
57,37AAOFS4452N1ZG,"SRI SHIRDISAI ENTERPRISES",VJA,37AABFG9822D1ZI,"GODAVARI RICE MILL STORES",KAKINADA,2018-02-24,0000-00-00,1,H/W,16803
58,37ARDPG1550B1ZF,"SRI VENKATESWARA POWER SOLUTIONS",GUNTUR,37BMEPB5266Q1ZK,"SVS AUTOMOBILES",YELESWARAM,2018-02-24,0000-00-00,1,"AUTO MOBILES",21948
59,37AIJPG0018P1Z5,"BHANU PRODUCTS",VIJAYAWADA,37AGPPT4063R1ZA,"RAJ AGENCIES",KAKINADA,2018-02-24,0000-00-00,7,"MALTO DEXTRIN",7000
60,37AADFA2559H1ZI,"ASHOKA ENTERPRISES",VIJAYAWADA,37AAY7339J1ZC,"MAHENDRA MITHAI WALA",KKD,2018-02-24,0000-00-00,2,"FOOD ITEM",3600
61,37AEMPP9834M1ZL,"BALAJI DALLS &G/M",VJW,37AKRPP2051M1ZL,"P .S .N .MURTHY",PDPM,2018-02-24,0000-00-00,5,DALLS,16500
62,37AALFB9501A1ZR,"BALAJI RIFRAZATION",VIJAYAWADA,37ADWPB5442J1Z6,"RAJ ENTERPRISES",KKD,2018-02-24,0000-00-00,1,"HOUSE ITEM",6730
63,37AAAFS0854Q1ZQ,"SANGHVI  CORPORATION",VJA,37adbpu7665f1z4,"parimala p/m",kkd,2018-02-24,0000-00-00,3,STATIONERY,16285
64,37AEKPP2125H1ZH,"ESTEEM CORPORATION",VIJAYAWADA,37AAIFS1585Q1ZC,"SRI MANIKANTA B/C",RJY,2018-02-24,0000-00-00,3,STATIONRY,19674
65,37AEKPP2125H1ZH,"ESTEEM CORPORATION",VIJAYAWADA,37EFRPS3442N1ZI,"VEERA HANUMAN AGENCIES",KKD,2018-02-24,0000-00-00,3,STATIONRY,27804
66,37AEKPP2125H1ZH,"ESTEEM CORPORATION",VIJAYAWADA,37AGRPC8006H1ZB,"LAKSHMI GANESH STATIONARY",KKD,2018-02-24,0000-00-00,3,STATIONRY,22337
67,37AACCG0975D1ZR,"GT INDIA  PVT  LTD",VJA,37auapk1058l1zk,"siri general stories",kkd,2018-02-24,0000-00-00,3,"STAR ANISEEDS",58020
68,37AACCK6385P2ZP,"KALANIKETHAN SILKS PVTLTD",KKD,37AACK6385P2ZP,"KALANIKETHAN SILKS PVT LTD",KKD,2018-02-24,0000-00-00,7,CLOTH,92739
69,37AEXPA6752J1ZX,"OSWAL PAPERS",VIJAYAWADA,37ABHPJ2235J2ZN,"KISHORE TRADERS",PDP,2018-02-24,0000-00-00,1,STATIONRY,2281
70,37AEXPA6752J1ZX,"OSWAL PAPERS",VIJAYAWADA,37ADHPN5046P1ZX,"SRINIVASA BOOKS&STATIONARY",PTPM,2018-02-24,0000-00-00,1,STATIONRY,1538
71,37AAVFS6511M1ZF,"S.D.S PHARMACEUTICALS",VIJAYAWADA,37ADNFS7167G1ZG,"SRI RAJA RAJESWARI MEDICAL AGENCIES","YERRAVARAM, YLSM",2018-02-24,0000-00-00,4,MEDICAL,14649
72,37AADFA2559H1ZI,"ASHOKA ENTERPRISES",VIJAYAWADA,37AGPPT4063R1ZA,"RAJ AGENCIES",KAKINADA,2018-02-24,0000-00-00,1,"FOOD ITEM",2154
73,37ALYPB6507A1Z6,"SURESH FANCY CENTRE",VIJAYAWADA,37DLAPM6804G1Z4,"R R FANCY & G/S / M.SURY BABU",YELESWARAM,2018-02-24,0000-00-00,3,"PLASTIC ITEM",2400
74,37AACFB2138G1ZT,"BRIGHT ELECTRICALS",VIJAYAWADA,37AFKPB3120P1ZF,"SRI SARVESWARA AGENCIES",PTPM,2018-02-24,0000-00-00,15,ELECTRICAL450,42304
75,37AMNPM9326Q1Z0,"MURALI T/R",VJA,37AFCPG4665C2ZO,"SRI VEERBHADRA SURGICALSVACCINES",KKD,2018-02-24,0000-00-00,1,SURGICAL,906
76,37AAACH3787Q2ZS,"HERANBA  IND  -LTD",VJA,37AUWPV3760C1Z1,"VASAVI AGRO  A/G",GLPL,2018-02-24,0000-00-00,2,PESTICIDS,9676
77,37AMNPM9326Q1Z0,"MURALI T/R",VJA,37AFCPG4665C2ZO,"SRI VEERBHADRA SURGICALSVACCINES",KKD,2018-02-24,0000-00-00,1,SURGICAL,1385
78,37AABPE7974L1Z9,"JCS APPLIANCIES","GOLLAPUDI, VIJAYAWADA",37BGRPC7911A1ZK,"MAHAVEER SHOPPING MALL",GOLLAMAMIDA,2018-02-24,0000-00-00,5,"MIXIE, TABLE TOP",16050
79,37AKIPA9590R1Z9,"AMBICA DECORS",VIJAYAWADA,37ANAPP8222A1ZC,"SAI SREEJA GLASS&P/W",KKD,2018-02-24,0000-00-00,3,"s roll",22611
80,37AABPE7974L1Z9,"JCS APPLIANCIES","GOLLAPUDI, VIJAYAWADA",37BLVPK2375R2ZX,"JAI RAM ELECTRONICS",MANDAPETA,2018-02-24,0000-00-00,3,FAN,14489
81,37EJRPK4665P1Z2,"SIBA AGENCIES",VIJAYAWADA,37AHXPB8768N1Z6,"M  .K  B/M",PDPM,2018-02-24,0000-00-00,4,PAINTS,5474
82,37AABPE7974L1Z9,"JCS APPLIANCIES","GOLLAPUDI, VIJAYAWADA",37AHYPM5401A1ZD,"SRI MANIKANTA TRADING CO",GOLLAMAMIDA,2018-02-24,0000-00-00,6,FAN,11652
83,37EJRPK4665P1Z2,"SIBA AGENCIES",VIJAYAWADA,37ADIPM9492M1ZL,"SRI VENKATESWARA TRADERS",PDPM,2018-02-24,0000-00-00,5,PAINTS,4524
84,37AASFM3550B1ZA,"MANJARI FOOD PRODUCTS",VIJAYAWADA,37AGPPT4063R1ZA,"RAJ AGENCIES",KAKINADA,2018-02-24,0000-00-00,75,"FOOD ITEM",82250
85,37AEUPN7833G1ZU,"SRI BHASKARA CORPORATION",VJA,37AMHPB4957C1Z7,"SRI   E/P",KKD,2018-02-24,0000-00-00,22,ELECTRICAL,196719
86,37AACCN2383C1ZO,"NAARGO INDUSTRIES PRIVATE LIMITED","BHAVANIPURAM, VIJAYAWADA",37CCQPR7637J1ZN,"SRI LAKSHMI GANAPATHI ENTERPRISES",JAGGAMPETA,2018-02-24,0000-00-00,2,MOTORS,7134
87,37ANSPB6016E1Z4,"NAVKAR POLYPACK",VIJAYAWADA,37BWXPB4375D1Z8,"BHAVANI PLASTIC&G/S",PTPM,2018-02-24,0000-00-00,1,COVERS,3540
88,37AJCPK7987K1ZG,"MAHAVEER DOOR INDUSTRIES",VJA,37ABFPJ3058H1ZO,"SRI SHANTHI HARDWARE",RJY,2018-02-24,0000-00-00,20,PLYWOOD,13254
89,37AEPPJ1740P1Z8,"SUKHRAJA AND COMPANY",VIJAYAWADA,,DR.S.RAMAKRISHNA,PTPM,2018-02-24,0000-00-00,1556,plastic,3894
90,37AEUPV2307R1ZG,"MAHALAKSHMI METALS",VJA,37ADIPC1094P1Z7,"HARI PRIYA METAL STORES",PTPM,2018-02-24,0000-00-00,2,STEEL,20159
91,37BDQPS5759A2Z0,"SAI TEJA AUTO INDUSTRIES",VZA,37AIIPR5300CIZ3,"SRI GANESH ENGINE OIL",KKD,2018-02-24,0000-00-00,1,"HOUSE ITEM",6926
92,37AKHPK3062H1Z6,"DIVYA SAI AGENCIES",VIJAYAWADA,37ARGPD3521Q1ZL,"GUPTA G/S",PDPM,2018-02-24,0000-00-00,15,DISPOSOLE,28490
93,37AFDPD0128E1Z5,"VENKATESWARA METALS",VJA,37BLWPM5334H1ZJ,"DIVYA VARALAKSHMI METAL STORES",PTPM,2018-02-24,0000-00-00,1,"steel borem",4713
94,37AEUPV2307R1ZG,"MAHALAKSHMI METALS",VJA,37CQHPM5540A1Z1,"MARRI VEERABADRA RAO METAL&G STORE",GOLLAPROLU,2018-02-24,0000-00-00,1,STEEL,9849
95,37AFDPD0128E1Z5,"VENKATESWARA METALS",VJA,648840581156,"LAXMI GANAPATHI METAL STORES",PTPM,2018-02-24,0000-00-00,1,"steel borem",5036
96,,"SRI LAKSHMI DURGA IND SUPPLERS",VJA,37AABCR8011L1Z9,"RJY PAPER MILL(P)LTD",RJY,2018-02-24,0000-00-00,1,"RUBBER ROLL",53218
97,37AQWPG3815D1ZQ,"MAHARAJA PLY LAM CENTRE","BHAVANIPURAM, VIJAYAWADA",37ASTPR3714P1ZR,"MAHALAXMI HARDWARE",MANDAPETA,2018-02-24,0000-00-00,26,PLYWOOD,14726
98,37AFLPM1213P1Z5,"LAKSHMI AGENCIES",VZA,37AHVPK1309A1Z5,"TYRE OCCEAN",KKD,2018-02-24,0000-00-00,1,"TYRE BUNDIL",9001
99,37BYPPM6489R1ZX,"VIJAYA KANAKADURGA TRADERS",VJA,37boaps5644k1zh,"SRI saheena metal",ptpm,2018-02-24,0000-00-00,4,"BROSS ITEM",44800
100,37AFOPD7339E1ZB,"VIJETHA INDUSTRIES",VZA,37DEPPK5811B1ZJ,"SRI RAMA DURGA META",JAGGAMPETA,2018-02-24,0000-00-00,1,SSBOREM,5140
101,37ACRPK5945P1ZK,"UMASANKAR METAL WERE",PEDDAVUTUPALLI,37AAHFM8694B1ZY,"MOHAN INDUSTREIS",SAMARLAKOTA,2018-02-24,0000-00-00,1,"steel borem",5826
102,37AAOPP2373D1ZJ,"SURYA INTERNATIONAL",VIJAYAWADA,37AJZPD9414H1ZP,"HEMADRIS TILES NSANITARY",RJY,2018-02-24,0000-00-00,3,SANITARY,113088
103,37AAECS3053J1Z9,"SUDHAKAR MARKETING AGENCIES",VIJAYAWADA,37ATFPV2612K2ZD,"RAVITEJA SANITARY & electricals",mandapeta,2018-02-24,0000-00-00,18,"PVC ITEMS",121308
104,37AMLPM6606M1ZH,"LAKSHMI GAS STOVES APPLIANCES",VJA,37ABVFS9386H1Z1,"SREE AGENCIES H.PGAS",KKD,2018-02-24,0000-00-00,2,STOVES,27000
105,37AAOPP2373D1ZJ,"SURYA INTERNATIONAL",VIJAYAWADA,37AAEFX4568D1Z2,"VENKATESWARA COMERCIAL",KKD,2018-02-24,0000-00-00,2,SANITARY,6416
106,37AAOPP2373D1ZJ,"SURYA INTERNATIONAL",VIJAYAWADA,37AARCS1479F1ZV,"SIDDHARTHA TILES &SANITARY PVT LTD",KKD,2018-02-24,0000-00-00,1,"OPTIMA SLIDING",25984
107,37bcypr9805h1zn,"palaniappa p/m",vja,37adbpu7665f1z4,"parimala p/m",kkd,2018-02-24,0000-00-00,12,PAPER,53667
108,33ACAPV7166J1Z9,"NAKODA METAL",CHENNAI,37AAHFM8694B1ZY,"MOHAN INDUSTREIS",SAMARLAKOTA,2018-02-24,0000-00-00,1,STEEL,8333
109,37ALXPB7904L1ZH,"SRI BHAGYALAKSHMI M/DB",VJA,37ACXPG6929K1ZQ,"GOLLAPUDI PHARMACEUTICALS",GOLLAPROLU,2018-02-24,0000-00-00,1,MEDICAL,5978
110,37AHNPP1428M2ZS,"SRI MARKETING",vja,37AEIPJ6519D1ZJ,"VEERADURGA GLASS & PLYWOOD",kkd,2018-02-24,0000-00-00,1,GR/3686,4294
111,37ABFFS4447R1ZC,"SRI MAHAVEER SALES",VJW,37ARJPM5093M2Z1,"LAXMI FANCY & GENERAL STORES",JAGGAMPETA,2018-02-24,0000-00-00,4,FANCY,5360
112,37ADUPV5699R1ZP,"KAVY MANIKANTA BINDING WORKS",VJA,37ADHPN5046P1ZX,"SRINIVASA BOOKS&STATIONARY",PTPM,2018-02-24,0000-00-00,4,BOOK,3192
113,37AGNPA7272R1ZM,"SHIVA SHAKTI T/R",VJA,37CSCPP1593F1ZK,"SRI BALAJIH/W & PAINTS",KKD,2018-02-24,0000-00-00,3,PAINTS,2228
114,37AQWPG3815D1ZQ,"MAHARAJA PLY LAM CENTRE","BHAVANIPURAM, VIJAYAWADA",,"DURGA GLASS",PTPM,2018-02-24,0000-00-00,7,PLYWOOD,3964
115,37AIFPM3126L1Z4,"GOPALA KRISHNASTEEL",VJW,"ADHAR 35498288294","SAI BALAJI METAL",JAGGAMPETA,2018-02-24,0000-00-00,1,SSBORAM,4784
116,37ARIPR1595E1ZG,"BHARAT TRADING CO",VJA,37BANPA5313E1Z2,"SATYA FANCY STOERS",PTPM,2018-02-24,0000-00-00,2,PLASTIC,7215
117,37ARLPM1251F1ZV,"DADA & SONS AGENCIES",vja,,"MANGA DEVI TYRE",KKD,2018-02-24,0000-00-00,1,"TYRE BUNDIL",10068
118,37AOVPB4082N1ZA,"SNEHA PLYWOOD",VJA,37aabfc4705b1z2,"coastal plywood",kkd,2018-02-24,0000-00-00,1,PLYWOOD,5540
119,37BSHPM9525N1ZY,"SRI PRASANTHI A/M",VJW,37DTLPS5156N1ZP,"MBS ELECTRICALS",JAGGAMPETA,2018-02-24,0000-00-00,1,A/M,2609
120,37ACGFS7237K1ZL,"SAI PHARMA",VJW,37ACXPG6929K1ZQ,"GOLLAPUDI PHARMACEUTICALS",GOLLAPROLU,2018-02-24,0000-00-00,1,MEDICAL,6793
121,37ABEPA8358A2ZY,"SRI SAI INDUSTRIES",VJW,37AAZPC9555D1Z7,"LAKSHMI GANAPATHI PAINTS",RAMCHANDRAPURAM,2018-02-24,0000-00-00,13,"PAINT POWDER",3900
122,37AEXPD1468H1Z2,"SAI DURGA ENTERPRISES",VZA,37BVPPS9449R1Z1,"OK PRINTERS",KKD,2018-02-24,0000-00-00,7,PAPER,178500
123,37AFMPG1052P1Z5,"MAHAVEER DOORS",VIJAYAWADA,37BTTPR3188K1ZM,"SRI LAKSHMI PRASANNA GLASS&H/W",JAGGAMPETA,2018-02-24,0000-00-00,4,DOORS,2364
124,37CFKPK7565R1ZB,"UB DECORS",VIJAYAWADA,37BAJPB4653G1ZS,"SREE HARDWARE",KAKINADA,2018-02-24,0000-00-00,8,PLYWOOD,4446
125,37AAACT7373C1ZC,"TRICOM AGRO PVT. LIMITED","BHAVANIPURAM, VIJAYAWADA",37ACEPY5433D1ZH,"SRI BHANU AGRO SERVICE","MODUKURU, RCPM",2018-02-24,0000-00-00,5,PESTICIDES,9263
126,37AIUPK3998F1ZG,"LAKSHMI MARKETING",VIJAYAWADA,37btnpk6569b1zb,"sri sai sanjana a/g",rajahmundry,2018-02-24,0000-00-00,2,PENS,19099
127,37AAEFT1781B1ZC,"TIGER SALES CORPORATION",VJA,37AADFG7797D1Z2,"GULLAPUDI SATYANANDAM & SONS",kkd,2018-02-24,0000-00-00,3,"HOUSE ITEM",25082
128,37ATNPK7947E1Z6,"SRI SRINIVASA BEEDINGS",VIJAYAWADA,37CODPS1358N1ZC,"S.K ENTERPRISES",MANDAPETA,2018-02-24,0000-00-00,3,BEEDING,8083
129,37ADOPN7146Q1ZW,"NVP PRODUCT",VJW,,"RAJU NISSY",JAGGAMPETA,2018-02-24,0000-00-00,2,JUICE,1400
130,37ATRPP2296F1Z3,"SRI GAYATRI A/S",VJA,,"B.KRISHNA BHAGAVAN",KKD,2018-02-24,0000-00-00,1,"HOUSE ITEM",2750
131,37ADBPJ0713D1Z8,"METALS & METALS",VIJAYAWADA,37BXQPK4569Q1Z9,"SRI DURGA GENERAL STORE",MANDAPETA,2018-02-24,0000-00-00,1,STEEL,5629
132,37ATRPP2296F1Z3,"SRI GAYATRI A/S37",VJA,37ALWPG9987H1ZZ,"AMARAVATHI AUTO  A/G",KKD,2018-02-24,0000-00-00,1,"HOUSE ITEM",1850
133,37AAACC9497N1ZT,"CRI PUMPS PRIVATE LIMITED",VIJAYAWADA,,"GSN SANITARY &G/G",PTPM,2018-02-24,0000-00-00,1,PUMPS,18408
134,37AGJPC5949H1Z5,"SREE AMBIKA A/S",VJA,37BUDPA5798P1ZV,"SRI DEVI SATYA SRINIVASA A/M",JGMPT,2018-02-24,0000-00-00,1,AA,9657
135,37ACSPT6442M1ZM,"HARI HARI SUTHA AYYAPPA TEXTILES",VIJAYAWADA,37ELRPS5228A1ZS,"KAVYANJALI SAREES",JAGGAMPETA,2018-02-24,0000-00-00,1,CLOTH,23200
136,37AEUPN7833G1ZU,"SRI BHASKARA CORPORATION",VJA,37AAYPC1959N1ZV,"RAVI BOOKS ATATIONERY &GENERAL",RJY,2018-02-24,0000-00-00,1,BOOKS,11162
137,37APSPR9691H1ZR,"YOGA LAKSHMI AUTOMOTIVE",VZA,,"B.KRISHNA BHAGAVAN",KKD,2018-02-24,0000-00-00,3,A/M,1056
138,37AJGPS8113D1Z7,"AMBICA PLYWOODS",VIJAYAWADA,37APGPN5574B1ZT,"VIJAYA DURGA H/W",YELESWARAM,2018-02-24,0000-00-00,10,"PLY WOODSHEESTS",7129
