Sl,"Consignor GST",Name,Address,"Consignee GST",Name,Address,"Date of Booking","Date of Delivery","No. of items",Commodity,"Goods Value(Rs.)"
32,37AAFPJ8202L1ZL,"JACOP SCIENTIFICS","VIJAYAWADA,BHAVANIPURAM",37AAJFR6443D1Z4,"RISHI HARIPRASAD M/A",RAJAHMUNDRY,2018-03-24,0000-00-00,15,MEDICAL,45360
33,37BZHPK9981M1ZC,"KUNDAN GIFT HOUSE",VJA,37AAMPG5421Q1RS,"SHYAMALA COLLECTION",KAKINADA,2018-03-24,0000-00-00,7,"FOOD ITEM",12596
34,37AAGFM7570H1ZY,"MUDRICA OFFSET PRINTERS",VJA,,"SATYA DESIGNERS",KKD,2018-03-24,0000-00-00,12,BOOKS,600
35,37AASFM3550B1ZA,"MANJARI FOOD PRODUCTS37",VIJAYAWADA,37AGPPT4063R1ZA,"RAJ AGENCIES",KKD,2018-03-24,0000-00-00,86,"FOOD ITEM",84000
36,37AGSPB8769M1ZE,"KUMAR GREASE",VJA,37ABHPT6716E1ZF,"JYOTHI CYCLE STORES",KKD,2018-03-24,0000-00-00,5,PAINTS,3308
37,37ANYPB7259D2ZK,"STAR INSTRUMENTS",VJA,37AOWPT1490D1ZE,"SRI MARIDI MAHALAKSHMI WEIGHING SERVICE",PDPM,2018-03-24,0000-00-00,1,"WEIGH MACHINE",1180
38,37AARFS2004B1ZI,"SAILESH STEEL HOUSE",VJA,37AAHFM8694B1ZY,"MOHAN INDUSTREIS",SAMARLAKOTA,2018-03-24,0000-00-00,1,STEEL,7168
39,37ADLPA1794M1Z5,"SRI SARADHI IND",VJA,37APJPV0504E1ZW,"SUN INFRA",KKD,2018-03-24,0000-00-00,2,OIL,23034
40,37ABEPV1483D1ZK,"SAI SRINIVASA TRADING COMPANY",VIJAYAWADA,,"SRI VENKATA KANAKA LAKSHMI GENERAL STORES",MDPT,2018-03-24,0000-00-00,2,DALL,3690
41,37AASFM3550B1ZA,"MANJARI FOOD PRODUCTS37",VIJAYAWADA,37AUAPK1058L1ZK,"SIRI GENERAL STORIES",KKD,2018-03-24,0000-00-00,50,"FOOD ITEM",24640
42,37AMSPP0670P1Z5,"VIJAYA METALS",GUNTUR,37BXPPP1647D1Z7,"SRINIVASA METAL STORE",DRAKSHARAMAM,2018-03-24,0000-00-00,1,STEEL,5048
43,37AAFPJ8202L1ZL,"JACOP SCIENTIFICS","VIJAYAWADA,BHAVANIPURAM",37AHTPA8251H1Z2,"SATYA SURGICALS",RAJAHMUNDRY,2018-03-24,0000-00-00,8,MEDICAL,31192
44,37AEVPS1565D1Z1,AMBICAENTERPRISE,VIJAYAWADA,262231014361,"ch venkatreddy",anaparthi,2018-03-24,0000-00-00,40,sheets,29471
45,37AFRPK3731N1ZU,"NVYA SAI DALLS&G/M",VJA,37AELPY6562J2ZK,"SATESH TRADERS",KKD,2018-03-24,0000-00-00,6,DALLS,6672
46,37ADLPA1794M1Z5,"SRI SARADHI IND",VJA,37APJPV0504E1ZW,"SUN INFRA",KKD,2018-03-24,0000-00-00,4,OIL,46067
47,24CXJPK9667H1ZW,"GEHLOT ELECTRICALS",AHMEDABAD,37ACFPJ2892J1Z9,"JITENDRA ELECTRICALS",RJY,2018-03-24,0000-00-00,1,ELECTRICAL,4032
48,37ASTPS2713B1ZM,"MAA AMBICA PLY & BOARDS",VJA,37BNRPR1018Q1Z7,"AMBICA PLYWOOD & HARDWARE",RAMCHANDRAPURAM,2018-03-24,0000-00-00,50,PLYWOOD,27119
49,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37AAFFL1414Q1Z2,"LAKSHMI PRASANNA H/W","ANAPARTHI,MANDAPETA",2018-03-24,0000-00-00,1,SINK,10504
50,24GZUPS1104Q1ZM,"RAMDEV M/K",AMDBD,37BUXPR9768J1Z4,"RAJLAKSHMI H/W & P/W",RJY,2018-03-24,0000-00-00,2,H/W,11033
51,37bhqpp4263a1z7,"BHAVANA PRINT PACK",vja,,"SRI OK PRINTERS",kkd,2018-03-24,0000-00-00,1,"flim roll",3542
52,24AAJFB9986F1Z1,"BHASKAR IND",RAJKOT,37BJAPD8152J1Z7,"RAMDEV H/W",RJY,2018-03-24,0000-00-00,14,H/W,65844
53,37ABEPV1483D1ZK,"SAI SRINIVASA TRADING COMPANY",VIJAYAWADA,37AQDPV8590M1ZT,"SRI VIJAYALAKSHMI TRADERS",GOLLAPROLU,2018-03-24,0000-00-00,50,DALLS,89375
54,37AARFB7993C1ZX,"BHARAT FOOT WEAR",VZA,37acnpk3462b1zp,"rajahmundry footwear",rjy,2018-03-24,0000-00-00,1,"FOOT WEAR",15916
55,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37ADUPT2989E1ZN,"SANTHI PIPES TILES &SANITARY",RJY,2018-03-24,0000-00-00,1,FITTINGS,38778
56,37ACAFS1346R1ZN,"SRI KANAKADURGA TYRES",Vja,37ABGPJ3229F1ZU,"SRI JUPUDI SREEDHARKUMAR",RJY,2018-03-24,0000-00-00,4,TYRES,49400
57,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37AAJFG1775FIZA,"GODAVARI AGENCIES",RJY,2018-03-24,0000-00-00,1,FITTINGS,38275
58,37fixps7156f1za,"mataji cycle",vja,37BGAPM7681J1ZX,"BASKHAR CYCLE &AUTO STORES",GLPL,2018-03-24,0000-00-00,3,CYLCES,9744
59,37AIUPK3998F1ZG,"LAKSHMI MARKETING",VIJAYAWADA,37AAHFS9813Q1ZA,"SRI DATTASAI AGENCIS",PTPM,2018-03-24,0000-00-00,1,PENS,15422
60,37AEWPK2996P1Z6,"JAGADEES STEELS",VJA,37BKGPD4742M1ZX,"SRI TIRUMALA H/W&G/S",PTPM,2018-03-24,0000-00-00,2,"IRON ROLLS",13452
61,37BHHPA1057N1ZA,"LAKSHMI GANAPATHI PAPER PRODUCTS",VJA,37AACFV4137H1Z4,"VENKATESWARA FOODS",KKD,2018-03-24,0000-00-00,2,NAPKIN,6820
62,37AAEFK2563Q1ZS,"K.S.R STEELS",VIJAYAWADA,37ABDFJ3058H1Z0,"SRI SHANTHI HARDWARE",RJY,2018-03-24,0000-00-00,1,PVC,3244
63,37AAFFM4128G1ZD,"MYSORE DEEP PERFUMERY HOUSE",VIJAYAWADA,37ACZPL0760B1ZN,"SRI SAI LAKSHMI A/G",KKD,2018-03-24,0000-00-00,20,AGARBTHI,50281
64,37AACFE9227H1ZC,"ELECTRON HOMEAPPLIANCES",VJA,37ADPPM7296N1ZE,"SUPER MARKET",KKD,2018-03-24,0000-00-00,2,ELECTRICAL,8200
