Sl,"Consignor GST",Name,Address,"Consignee GST",Name,Address,"Date of Booking","Date of Delivery","No. of items",Commodity,"Goods Value(Rs.)"
42,37DNPPK6767K1ZO,"SRI LAKSHMI SAI PAINTS",VJA,37akhpg9451g1zz,"sri krishna paints",kkd,2018-03-22,0000-00-00,2,PAINTS,6843
43,37AADCM8037B1ZN,"M.S.MARKETING ENTERPRISES PVT. LTD.","BHAVANIPURAM, VIJAYAWADA",37aptpp3974j1zx,"SRI DEVI BUILDING MATERIALS",jaggampeta,2018-03-22,0000-00-00,5,"PVC ITEMS",25352
44,37AAFPJ8202L1ZL,"JACOP SCIENTIFICS","VIJAYAWADA,BHAVANIPURAM",37AAJFR6443D1Z4,"RISHI HARIPRASAD M/A",RAJAHMUNDRY,2018-03-22,0000-00-00,12,MEDICAL,58520
45,37AABPE7974L1Z9,"JCS APPLIANCIES","GOLLAPUDI, VIJAYAWADA",37AXJPG0961A1ZU,"GANESH HOMA NEEDS",KKD,2018-03-22,0000-00-00,6,"HOME NEEDS",27256
46,33BCSPK1501K1ZO,"SAIJOTHI ENGINEERING WORKS",COIMBATORE,37AIHPB5718M1ZI,"JYOTHI TRADERS","DwARAPUDI, MDPT",2018-03-22,0000-00-00,12,"W/G WITH STON, ss/parts",40800
47,37AGXPN6550D1ZX,"N S K MARKETING",VIJAYAWADA,37AKBPN9835F1ZW,"MANIKANTA PLASITICS",RAJAHMUNDRY,2018-03-22,0000-00-00,3,BOTTLES,8353
48,37AAFFM4128G1ZD,"MYSORE DEEP PERFUMERY HOUSE",VIJAYAWADA,37AAZPC9521D1ZH,"DURGA AGENCES",ANGARA,2018-03-22,0000-00-00,15,AGARBATHI,51509
49,37AKRPR5769GIZ9,"J .K ORGANICS",VJA,37EQVPK4436G1Z7,"SRI VENKATA ANNAPURNA P/P",PTPM,2018-03-22,0000-00-00,2,GAMU,1888
50,37AAXPH0201P1ZE,"J.T ENTERPRISES",VIJAYAWADA,37AAIPI0350F1Z3,"SANTHI TRADERS",MANDAPETA,2018-03-22,0000-00-00,14,"FOOD ITEM",18823
51,37AAJCA1375J1ZH,"ARTIST GOLD PAINTS PVT.LTD",VIJAYAWADA,37AAOFS4169E1ZT,"SRI SURYA RATNA ALLU-CHANNELS",KKD,2018-03-22,0000-00-00,1,PAINTS,8095
52,37AIUPK3998F1ZG,"LAKSHMI MARKETING",VIJAYAWADA,37AAZPC9521D1ZH,"DURGA AGENCES",ANGARA,2018-03-22,0000-00-00,2,pen,30843
53,37AAJCA1375J1ZH,"ARTIST GOLD PAINTS PVT.LTD",VIJAYAWADA,37BCFPP9196N1ZJ,"VIKAS PAINTS",KKD,2018-03-22,0000-00-00,1,PAINTS,8095
54,37ABDPA5426C1Z9,"S.P.C MARKETING",VJA,37ARBPG0260G2Z9,"S.J.S ENTERPRISES",MANDAPETA,2018-03-22,0000-00-00,1,plastiicsheetsrool,3629
55,37AABFC4558J1ZA,"CAUVERY MARKETING COMPANY",VJA,37AADCP7270P2ZP,"PATTABHI AGRO FOODS PVT LTD",PDPM,2018-03-22,0000-00-00,2,CAPACITOR,67260
56,37cagpd6171f1zt,"bhagath traders",vjA,447799207188,"ramana shoe mart",ptpm,2018-03-22,0000-00-00,1,F/W,4158
57,37AACFP8149H2ZX,"POPULAR SHOE MART",vja,37aacf8149h2zx,popularshoemart,rcpm,2018-03-22,0000-00-00,5,f/w,92051
58,37ANDPK3431H1Z7,"VENKATA SAI KRUPA",VJA,37AMVPB4996R1ZR,"SRI VISALKSHMI GENERALS",JAGGAMPETA,2018-03-22,0000-00-00,5,"LAWS OIL",2500
59,37ADAFS3312G1ZE,"SRI HNUMAN PLYWOODS",VIJAYAWADA,345385014255,"SRI RAMA IRON &PLYWOOD CENRE",PDPM,2018-03-22,0000-00-00,45,PLYWOOD,22998
60,37AGUPK0915C1ZG,"PARADISE LEATHER WEAR",VIJAYAWADA,808793125161,"SUNITHA SHOE MART",JGMPT,2018-03-22,0000-00-00,5,f/w,37422
61,37AAECS3053J1Z9,"SUDHAKAR MARKETING AGENCIES",VIJAYAWADA,37ABBPC9857H1ZG,"VINAYAKA ELECTRICALS & GENERAL STORES",PTPM,2018-03-22,0000-00-00,5,PVCPIPES,18991
62,37ACVFS1016M1ZL,"SHYAM ENTERPRISES",VIJAYAWADA,34AHCPC4919P1Z7,"LAKSHMI FANCy S/M",YANAM,2018-03-22,0000-00-00,1,F/W,6240
63,37adnfs3686c1zo,"shivay entERPRISES",vjA,34AHCPC4919P1Z7,"LAKSHMI FANCy S/M",YANAM,2018-03-22,0000-00-00,1,f/w,3767
64,37AAFCR0047J1ZD,"RATINA PAINTS PVT LTD",VIJAYAWADA,37AUKPK6401B1ZY,"SAI GANAPATHI E/P",KKD,2018-03-22,0000-00-00,4,PAINTS,9049
65,37AAAFY1629D1ZC,"YAKKALA GURAVAIAH COMPANY",VJA,280778924798,"A LACHIBABU",PDPM,2018-03-22,0000-00-00,3,H/W,8850
66,37AAAFY1629D1ZC,"YAKKALA GURAVAIAH COMPANY",VJA,288778924798,"a.lachi babu",pdpm,2018-03-22,0000-00-00,4,H/W,11800
67,37ABAPV6653M1ZZ,"SRI JAI KRISHNA T/R",VJA,784411790521,K.VENKATESWARARAO,MDPT,2018-03-22,0000-00-00,2,FABRICS,6553
68,37AQGPS7822L1Z6,"VIJAYALAKSHMI DALL MILL",VAJ,37ADFPV2412H1ZK,"SRI SURYA CHANDRA TRADING COMPANY",DRAKSHARAMAM,2018-03-22,0000-00-00,22,dall,67400
69,37ADKPA7886K1ZX,"KANAKA DURGA MARKETING",VIJAYAWADA,37CPQPM6567K1ZW,"PERFECT SEAT COVER WORKS",MANDAPETA,2018-03-22,0000-00-00,1,BAGMATERIAL,12095
70,37AJWPP6787E1Z8,"LAKSHMI NARASIMHA TRADING COMPANY","GOLLAPUDI, VIJAYAWADA",37ECBPK8309E1ZY,"VENKATA NAGA LAKSHMI TRADERS",GLPL,2018-03-22,0000-00-00,15,DALLS,32825
71,37AAACL5557E1ZI,"MYK LATICRTE",VJA,37ACNFS0337B1ZA,"SURYA SQUARE",RJY,2018-03-22,0000-00-00,5,PAINTS,9097
72,37AEVPS1565D1Z1,AMBICAENTERPRISE,VIJAYAWADA,37AYGPS7619K1ZP,"SRI PADMA SRINIVASA SANITARY & PLYWOOD CENTRE",MANDAPETA,2018-03-22,0000-00-00,10,sheets,5901
73,37AAACR0421M1Z1,"REMI SALES&ENG LTD",VJA,37AACFP7607A1ZJ,"PENTA RAMACHANDRA RAO&SONS",KKD,2018-03-22,0000-00-00,10,FANS,57440
74,37aahfs1387b1z8,"venkata durga dall mill",vja,37AUYPA9236E1Z9,"SRI LAXMI SAI TRADERS","PRATHIPADU, YELESWARAM",2018-03-22,0000-00-00,40,dall,121900
75,37ACJPR3359Q1ZN,"HARANADHA METAL STORES",VIJAYAWADA,37AEYPG1429F1ZB,"G.VENKATA CHAKRADHARA RAO",GLPL,2018-03-22,0000-00-00,1,STEEL,10025
76,37AACCN2383C1ZO,"NAARGO INDUSTRIES PRIVATE LIMITED","BHAVANIPURAM, VIJAYAWADA",37CCQPR7637J1ZN,"SRI LAKSHMI GANAPATHI ENTERPRISES",JAGGAMPETA,2018-03-22,0000-00-00,1,MOTORS,4696
77,37ACFPA5217N1ZL,"MEENA SALES AGENCIES",VIJAYAWADA,37aaifs5835m1zj,sriseetharamacycleshop,mdpt,2018-03-22,0000-00-00,4,cycle,32500
78,37ACIFS6230L1ZQ,"SAI RAM ENTERPRISES","GOLLAPUDI, VIJAYAWADA",37AQKPG1319C1Z9,"TULASI ENTERPRISES",MANDAPETA,2018-03-22,0000-00-00,1,DISPOSBLE,2478
79,37AACCG9397F1Z5,"GOLDMEDAL ELECTRICAL(P)LTD",VJA,37AHHPT5584G1ZR,"SRI VIJAYA BHASKAR ELECTRICALS","G.MAMIDADA,MDPT",2018-03-22,0000-00-00,2,"ELECTRICAL GOODS",24568
80,37ADAFS3312G1ZE,"SRI HNUMAN PLYWOODS",VIJAYAWADA,37AAAJS1272N1ZP,"SRI MARDAMMA AMMAVARI DEVASTHANAM",PDPM,2018-03-22,0000-00-00,13,PLYWOOD,10885
81,37AASCS8557Q1ZZ,"SHYAM HOME APPLINCES",VJA,37BAZPP4729F3ZX,"SRINIVASA  H/A",KKD,2018-03-22,0000-00-00,7,"HOME NEEDS",1211
82,37ACMPH8395P1ZI,"SRI SAI INDUSTRIES",Vja,363879536605,"B.JAI RAJU",Ptpm,2018-03-22,0000-00-00,6,surf,6600
83,37AEQPK9968M1Z8,"VENKATESWARA PAINTS&CHEMICALS",VJA,37CVNPG3769C1ZH,"VAHANI E/P",RJY,2018-03-22,0000-00-00,16,PAINTS,7920
84,37AECPC5411R1ZE,"MAYUR FOOT WEAR",VIJAYAWADA,683510899267,"PARAGON PADARAKSHALU",mdpt,2018-03-22,0000-00-00,2,f/w,7057
85,37AHVPJ1148C1ZB,"ARHANT  A/G",VJA,37ACGPP0541F1ZT,"SRI DEVI TRADERS",PDPM,2018-03-22,0000-00-00,2,COVERS,3658
86,37adbpg9034a1z1,"ratna bag works",vja,6937395691,"k.k. collections",pdpm,2018-03-22,0000-00-00,4,"carriage bags",8000
87,37aacfr6749p1zd,royalmachinerycorporation,vjm,37cgppr6930m1zg,"kalyani paper products",mdpt,2018-03-22,0000-00-00,1,"nylon bed",2407
88,37AHVPJ1148C1ZB,"ARHANT  A/G",VJA,37ACGPP0541F1ZT,"SRI DEVI TRADERS",PDPM,2018-03-22,0000-00-00,2,COVERS,8064
89,37AECPC5411R1ZE,"MAYUR FOOT WEAR",VIJAYAWADA,37ASDPV1538K1ZB,"BAGAWATHI ENTERPRISES",KKD,2018-03-22,0000-00-00,9,f/w,18318
90,37AGOPP3914C1ZC,"TANDAVA KRISHNA AGENCIES",VIJAYAWADA,37ARXPV0777H1ZT,"GOPAL KRISHNA ELECTRICAL",MANDAPETA,2018-03-22,0000-00-00,3,"10 FEET PVC PIPES,pvc item",5621
91,37ACBPL0946K1ZI,"MANGILAL PLASTIC CENTRE",VJA,37ACGPP0541F1ZT,"SRI DEVI TRADERS",PDPM,2018-03-22,0000-00-00,2,COVERS,7080
92,37AALFB9501A1ZR,"BALAJI REFRIGERATION",vja,37AFUPJ3333E1ZD,"RAJ REFRIGERATION",RJY,2018-03-22,0000-00-00,1,"A/C cylinder",24486
93,37ACBPL0946K1ZI,"MANGILAL PLASTIC CENTRE",VJA,37ATQPD8916R1Z0,"SRI RAMA KRISHNA POLYTHEN&G/S",PDPM,2018-03-22,0000-00-00,1,COVERS,3540
94,37AVRPM0426G1ZG,"MONTY F/W",Vja,37AFBPJ2589R1ZP,"VYSNAVI FOOT WEAR",RJY,2018-03-22,0000-00-00,1,f/w,8550
95,37AACCN2383C1ZO,"NAARGO INDUSTRIES PRIVATE LIMITED","BHAVANIPURAM, VIJAYAWADA",37AYQPS0546K1ZR,"CALCUTTA PIPE FITTING STORES",KKD,2018-03-22,0000-00-00,1,FITTINGS,6200
96,37APHPS9430C1ZQ,"NOORI RUBBERS",VJA,500033761965,s.sunil,drmm,2018-03-22,0000-00-00,2,f/w,14016
97,37ACDPL1050G1Z0,"NANDINI AUTOMOTIVES",VIJAYAWADA,37ANFPA3159G1Z8,"SHANMUKHA A/M",RJY,2018-03-22,0000-00-00,1,A/M,8704
98,37AJLPM2177N1ZJ,"MAHITHA SOFT SERVICES",VJA,37ADCFS2868P1ZA,"SRI RAGHAVA D/P",KKD,2018-03-22,0000-00-00,1,"photo paper",29394
99,37AAECS3053J1Z9,"SUDHAKAR MARKETING AGENCIES",VIJAYAWADA,37ATFPV2612K2ZD,"RAVITEJA SANITARY & ELECTRICALS",MANDAPETA,2018-03-22,0000-00-00,3,"PVC ITEMS",28663
100,37ACDPL1050G1Z0,"NANDINI AUTOMOTIVES",VIJAYAWADA,37ANDPG4714H1Z7,"SRI TRIPURA A/M",KKD,2018-03-22,0000-00-00,1,A/M,7078
101,37DPGPS5353E1ZM,"GOUTAM MARKETING",VIJAYAWADA,37AGZPT0418L1ZL,"LALITHA GIFT WEAR",RAMACHANDRAPURAM,2018-03-22,0000-00-00,3,"GIFT ARTICALS",5664
102,37AEMPP9834M1ZI,"BALAJI DALLS & GENERAL MERCHANTS",VJa,37AKRPP2051M1ZL,"P .S .N .MURTHY",PDPM,2018-03-22,0000-00-00,2,DALLS,6625
103,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37ATFPV2612K2ZD,"RAVITEJA SANITARY & ELECTRICALS",MANDAPETA,2018-03-22,0000-00-00,1,"PVC ITEMS",29185
104,37ABEFA8862F1Z9,"ALPHA POLY PRODUCTS",VIJAYAWADA,37ANRPG5465F1ZN,"SRI VENKATESWARA IRON H/W&GENERAL",KKD,2018-03-22,0000-00-00,3,PVCPIPES,14360
105,37AAECS3053J1Z9,"SUDHAKAR MARKETING AGENCIES",VIJAYAWADA,37ABBPC9857H1ZG,"VINAYAKA ELECTRICALS & GENERAL STORES",PTPM,2018-03-22,0000-00-00,1,PVCPIPES,2520
106,37ACHFS0511K1Z5,"SRINIVASA GENUINE SPARES",VIJAYAWADA,37DLEPS6354F1ZR,"SRI AYYAPPA A/M&DISPOSALS",MDPT,2018-03-22,0000-00-00,5,a/m,63289
107,37AADFC2245C1ZZ,"CHAITANYA FOOTWEAR",VIJAYAWADA,37ddups0378r1z7,"sri deep foot wear",rjy,2018-03-22,0000-00-00,1,f/w,16473
108,37ABEPA8310L1ZS,"NIRMALA IRON AND GENERAL STORES",VJW,37AHNPM8509L1ZM,"SRI VENKATESWARA TRADERS",MANDAPETA,2018-03-22,0000-00-00,3,H/W,9817
109,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37AMQPL8091G1ZF,"SRI SATYAPLUMBING&H/W",KKD,2018-03-22,0000-00-00,10,PVCPIPES,84709
110,37ABEPA8310L1ZS,"NIRMALA IRON AND GENERAL STORES",VJW,37AHNPM8509L1ZM,"SRI VENKATESWARA TRADERS",MANDAPETA,2018-03-22,0000-00-00,2,H/W,7918
111,37AHNPP14256H1ZW,"SRINIVASA AUTOMOTIVE",VJA,37DLEPS6354F1ZR,"SRI AYYAPPA A/M&DISPOSALS",MDPT,2018-03-22,0000-00-00,1,a/m,9891
112,37CADPD1525J1ZZ,"SRI SATYA KARTHIK AGENCIES",VIJAYAWADA,37BDYPN3637Z1GI,"LAXMI GANAPATHI F/M",SMKT,2018-03-22,0000-00-00,3,"FOOD ITEMS",5000
113,37AEYPA0556M1ZO,"RAJ MOTOR &CO",VJA,37angpk6338n1zf,"sunitha vijaya durga a/m",rjy,2018-03-22,0000-00-00,4,FRAMES,2688
114,37ABSPA6371P1ZX,"MAHESWARA  E/P",VJA,37BEYPK9766E1ZK,"OM MANIKANTA TRADERS",GLPL,2018-03-22,0000-00-00,20,DALLS,61750
115,37ABIPD4146M1ZH,"MAHESWARI DALL MILL",VJA,37cfupk3032d1zg,"sri amrutha tredars",glp,2018-03-22,0000-00-00,12,DALLS,39180
116,37AKMPK3377J1ZM,"LAXMI PRASANNA PNEUMATIC SERVICES",Vja,37acsfs8320b1zy,"slv enterprises",kkd,2018-03-22,0000-00-00,3,"HOUSE ITEM",22324
117,37ABIPV3441R1ZT,"MALLIKHARJUNA GENERAL STORES",VIJAYAWADA,37AGPPT4063R1ZA,"RAJ AGENCIES",KKD,2018-03-22,0000-00-00,5,JUICE,18840
118,37AKMPK3377J1ZM,"LAXMI PRASANNA PNEUMATIC SERVICES",Vja,37BGOPK3922L1ZX,"padmavathi h/w &g/stores",KKD,2018-03-22,0000-00-00,1,h/w,7895
119,37AABFJ7559E1Z7,"JYOTHI MILL STORE",VJA,,"V.V.RAO GARU",drmm,2018-03-22,0000-00-00,5,RICEMILLSPARES,2505
120,37ACEPI2659B1ZV,"I.M ENTERPRISES",VIJAYAWADA,37CQXPS4731B1ZE,"PRAVEEN S/M",MANDAPETA,2018-03-22,0000-00-00,1,"FOOT WARE",3150
121,37ACSPG1944R1ZS,"AGARWAL enterprises",VIJAYAWADA,37BQUPS2344J1Z4,G.K.ENTERPRISES,KKD,2018-03-22,0000-00-00,4,f/w,7938
122,37AALFD7040E1ZJ,"DELHI KITCHEN EQ",VJA,37AQYPG1203H1ZU,"SRI GANGA HP GAS  A/G",PDPM,2018-03-22,0000-00-00,3,stoves,3981
123,37ACEPI2659B1ZV,"I.M ENTERPRISES",VIJAYAWADA,37APVPC0919C1Z0,"SRI SURYA AGENCY",MANDAPETA,2018-03-22,0000-00-00,1,"FOOT WARE",3654
124,37AACFC0544M1ZQ,"CIRCARS LAKSHMI MIIL STORES",VIJAYAWADA,37AVSPS8629L1ZD,"SRI SAINATH AGENCIES",MDPT,2018-03-22,0000-00-00,1,RICEMILLSPARES,4471
125,37AHAPN8033B1Z0,"SMART KIDS",VJA,,"SRI GOWTHAMA EM SCHOOL",KKD,2018-03-22,0000-00-00,13,"PRINTED BOOKS",128500
126,37AADCM5158K1Z4,"MID INDIA E/P PVT LTD",VJA,37AARCS8925L1ZD,"SRI MANASA E/P PVT LTD",KKD,2018-03-22,0000-00-00,2,cloth,96132
127,37ACRPK5945P1ZK,"UMASANKAR METAL WERE",PEDDAVUTUPALLI,37AIGPM6957N1ZE,"SRI VENKATESWARA METAL STORES",RCPM,2018-03-22,0000-00-00,2,SSBORAM,16184
128,37ABFPN9294F1Z6,"SHA HEERACHAND CHAMPALAL & CO",VJA,34CRZPS3707A1ZK,"SRI DHARNI PRIYANKA  T/R",YANAM,2018-03-22,0000-00-00,6,"HOME APPLINCES",27620
129,37AGJPN2981Q1ZH,"SRI MEENAKSHI DOORS",VJA,37ADAPB3260A1ZF,"SRI KALKI KALYANA CHAKRAVARTHY",MDPT,2018-03-22,0000-00-00,10,PLYWOOD,5516
130,37AATFM2099N1ZA,"MAHARANI DALL MILL",TENALI,37APDPA3591A1ZE,"SRI SAI SRINIVASA GENERALSTOERS",PDPM,2018-03-22,0000-00-00,20,DALLS,40000
131,37beupc7838f1z1,"sai ram enterprises",vjw,,ganapathi,rcpm,2018-03-22,0000-00-00,2,sompoil,5000
132,37AAHPO8301M1ZC,"RISHABHA E/P",VIJAYAWADA,37AETPD5869B1Z7,B.R.AGENCIES,KAKINADA,2018-03-22,0000-00-00,3,mehandi,33435
133,37afopp1868c1z5,"venkata sai durga tredars",vja,37AERPS3078R1Z8,"SRI SUREY SUBBARAO &CO",PEDDAPURAM,2018-03-22,0000-00-00,15,DALLS,46200
134,37ABSPA5850B1ZS,"VEENUS FOAMS",VIJAYAWADA,37AIHPB5717E2ZI,"SRI JAYALAKSHMI H/W Cycle stors","JAGAPATHI NAGARAM, YELESWARAM",2018-03-22,0000-00-00,1,FOAM,7650
135,37AGNPA7272R1ZM,"SHIVA SHAKTI T/R",VJA,700734014403,k.bangarraju,rjy,2018-03-22,0000-00-00,4,paints,4562
136,37aacfc0544m1zh,"CIRCARS LAKSHMI MIIL STORES",vjA,37aapfs9540q1z2,"sri satyakrishnamodern ricemill",mandapeta,2018-03-22,0000-00-00,1,RICEMILLSPARES,3575
137,37afopp1868c1z5,"venkata sai durga tredars",vja,37AARPV7267P1ZA,"VANKAYALA SURYA NARAYANA &SONS",PEDDAPURAM,2018-03-22,0000-00-00,7,DALLS,18040
138,37AKHPP4708P1ZH,"SRI SRINIVASA AUTO E/P",VJA,37cgsps6738p1z0,"sai sivalakshmi a/m","g.mamidada,mdpt",2018-03-22,0000-00-00,2,A/M,7002
139,37aabft2616e1zh,"team traders",vja,37BGNPM4322D1ZH,"A.R ENTERPRISES",MANDAPETA,2018-03-22,0000-00-00,1,floormat,7915
